cluster,attack_rate,mobility_rate,defense_rate,hit_rate,miss_rate,dps_dealt,dps_taken,block_rate,dodge_rate,quick_rate,heavy_rate,special_rate,charge_rate,aggression,defense_style,mobility_style,risk_style,n_rounds,playstyle
0,0.4579213200455072,0.402225218217027,0.06917116579953152,0.5510191145982305,0.44898088540176956,2.2986351266260936,2.404214972658203,0.031978438228438225,0.05036502849002849,0.4175350900495862,0.012557151904337758,0.01310955229395315,0.005962751783603683,1.1254456009868932,0.05331181320082778,0.402225218217027,1.4265979290299862,12,Aggressive
1,0.16909497705627188,0.6139352005875212,0.11952760489519919,0.39713278879123587,0.6028672112087641,1.3486450990357504,2.2003514793663195,0.10112111987111985,0.04582799266622795,0.03772434819471417,0.07277813891872423,0.024212913389788735,0.008891980767975717,0.6389469726828303,0.09558075633073258,0.6139352005875212,1.4016093452875418,37,Balanced
2,0.20593141622297714,0.7233287962511541,0.03975504349852037,0.6828981540213606,0.31710184597863944,2.3597665868950437,1.6812847856464377,0.041525264858598185,0.03060289383818795,0.06327209015026944,0.06935377848775176,0.02920373963206111,0.011663237755636475,1.0790154104077962,0.03799807249146061,0.7233287962511541,0.9991933158125386,45,Balanced
3,0.03814091280748165,0.8195298665702427,0.07892416186894238,0.875,0.0,1.2375042012694435,2.0426846617768852,0.10064484126984125,0.05515873015873015,0.0,0.0,0.0,0.0,0.6671328355672979,0.07949900776165898,0.8195298665702427,1.0213423308884426,8,Mobile
4,0.75,0.25,0.0,0.8888888888888888,0.1111111111111111,4.143654975151009,0.0,0.0,0.0,0.0,0.6666666666666666,0.0833333333333333,0.0,1.972501463525075,0.0,0.25,0.05555555555555555,1,Aggressive
