file,match_id,round_number,p1_profile_id,p1_profile_name,p1_character,p2_profile_id,p2_profile_name,p2_character,winner_profile_id,winner_profile_name,p1_score,p2_score,p1_elo_before,p2_elo_before,p1_elo_after,p2_elo_after,p1_char_elo_after,p2_char_elo_after,damage_p1,damage_p2,final_hp_p1,final_hp_p2,max_hp,hp_margin
match_2026-03-11_17-09-30_c4dbe741446d.json,c4dbe741446d,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Chiback,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Lupen,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,0.89,0.10999999999999999,1449.4206131514577,1550.5793868485423,1466.4318229778366,1533.5681770221634,1501.8487630235231,1499.4312369764768,102.0,44.0,56.0,0.0,100.0,0.56
match_2026-03-11_17-10-36_063bf0d84449.json,063bf0d84449,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Skipler,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Lithra,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,0.7975,0.2025,1466.4318229778366,1533.5681770221634,1479.0056512844474,1520.9943487155526,1510.0518563218325,1501.501513577695,113.0,81.0,19.0,0.0,100.0,0.19
match_2026-03-11_17-11-39_4cad324b49be.json,4cad324b49be,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Chiback,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Steelager,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,0.17999999999999994,0.8200000000000001,1479.0056512844474,1520.9943487155526,1470.6899429601237,1529.3100570398763,1491.6531461019722,1513.008148720082,72.0,110.0,0.0,28.0,100.0,0.28
match_2026-03-11_17-12-35_7711ccb79ba6.json,7711ccb79ba6,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Fin,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Steelager,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,0.03500000000000003,0.965,1470.6899429601237,1529.3100570398763,1458.4841710781836,1541.5158289218164,1481.8143483181448,1527.1012686034062,14.0,101.0,0.0,86.0,100.0,0.86
match_2026-03-11_17-13-17_244f3d8a7c2d.json,244f3d8a7c2d,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Fin,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Chiback,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,0.20999999999999996,0.79,1458.4841710781836,1541.5158289218164,1452.956749799272,1547.043250200728,1473.3710645391257,1508.443283779019,84.0,100.0,0.0,16.0,100.0,0.16
match_2026-03-11_17-14-16_e81350bdfe17.json,e81350bdfe17,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Visvia,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Lupen,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,0.9299999999999999,0.07000000000000006,1452.956749799272,1547.043250200728,1470.9466955054693,1529.0533044945307,1504.4257604780237,1485.2481883845614,101.0,28.0,72.0,0.0,100.0,0.72
match_2026-03-11_17-15-21_60c08045cc9a.json,60c08045cc9a,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Rager,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Chiback,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,0.22250000000000003,0.7775,1470.9466955054693,1529.0533044945307,1464.717930790415,1535.282069209585,1491.5087510615922,1516.934532717427,89.0,122.0,0.0,11.0,100.0,0.11
match_2026-03-11_17-17-36_e548679433be.json,e548679433be,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Steelager,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Visvia,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,0.7775,0.22250000000000003,1464.717930790415,1535.282069209585,1476.8035730632384,1523.1964269367616,1518.9847017342618,1500.3332950087517,101.0,89.0,11.0,0.0,100.0,0.11
match_2026-03-12_16-44-27_451d68927cbd.json,451d68927cbd,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Fin,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Lithra,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,0.07000000000000006,0.9299999999999999,1476.8035730632384,1523.1964269367616,1465.1674350325966,1534.8325649674034,1460.9036962165371,1513.9688819002836,28.0,102.0,0.0,72.0,100.0,0.72
match_2026-03-12_16-45-08_1af542b7276a.json,1af542b7276a,1,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,Rager,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,Lazy Bigus,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,0.7975,0.2025,1465.1674350325966,1534.8325649674034,1477.8533177910545,1522.1466822089455,1501.9529573177394,1501.1557937438527,103.0,69.0,19.0,0.0,100.0,0.19
