match_id,round_number,stage,mode,duration_s,slot_id,is_p1,is_p2,won_round,profile_id,profile_name,player_id,actions_total,actions_attack,actions_mobility,actions_defense,actions_quick,actions_heavy,actions_special,actions_charge,actions_projectile,hit_attempts,misses,hits_landed,hits_received,damage_dealt,damage_taken,blocked_hits_as_defender,dodged_hits_as_defender,attack_rate,mobility_rate,defense_rate,hit_rate,miss_rate,dps_dealt,dps_taken,block_rate,dodge_rate,quick_rate,heavy_rate,special_rate,charge_rate,projectile_rate,risk_index,parry_rate,ema_attack_rate,ema_mobility_rate,ema_defense_rate,ema_hit_rate,ema_miss_rate,ema_dps_dealt,ema_dps_taken,ema_block_rate,ema_dodge_rate,ema_quick_rate,ema_heavy_rate,ema_special_rate,ema_charge_rate,ema_projectile_rate,ema_risk_index,ema_parry_rate
2752da453261,1,Stage 1,1v1,137.03564453125,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,207,0,197,0,0,0,0,0,10,4,0,2,9,76.0,115.0,0,1,0.0,0.9516908212560387,0.0,1.0,0.0,0.5546002301807595,0.8391977167208863,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.04830917874396135,0.0,0.0,0.0,0.9516908212560387,0.0,1.0,0.0,0.5546002301807595,0.8391977167208863,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.04830917874396135,0.0,0.0
374c7684800e,1,Stage 1,1v1,30.446929931640625,P2,False,True,1.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,169,40,126,0,32,7,1,0,0,5,28,25,6,125.0,45.0,0,1,0.23668639053254437,0.7455621301775148,0.0,0.4716981132075472,0.5283018867924528,4.105504242320973,1.4779815272355503,0.0,0.16666666666666666,0.1893491124260355,0.04142011834319527,0.005917159763313609,0.0,0.0,0.10566037735849057,0.0,0.08284023668639053,0.8795457793785553,0.0,0.8150943396226416,0.18490566037735848,1.7974166344298341,1.0627720504010187,0.0,0.13055555555555554,0.06627218934911241,0.014497041420118343,0.002071005917159763,0.0,0.03140096618357488,0.0369811320754717,0.0
528ffea40a25,1,Stage 1,1v1,40.426483154296875,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,258,50,207,1,40,8,2,0,0,6,32,35,11,62.0,102.0,0,0,0.1937984496124031,0.8023255813953488,0.003875968992248062,0.5223880597014925,0.47761194029850745,1.5336481227754313,2.523098524566032,0.0,0.0,0.15503875968992248,0.031007751937984496,0.007751937984496124,0.0,0.0,0.0955223880597015,0.0,0.12167561121049492,0.8525187100844329,0.0013565891472868217,0.7126471416502393,0.2873528583497606,1.705097655350793,1.5738863163587733,0.0,0.0848611111111111,0.09734048896839594,0.020275790101371496,0.004059332140727489,0.0,0.02041062801932367,0.05747057166995212,0.0
ad941b0d91e7,1,Stage 1,1v1,56.4908447265625,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,238,20,216,2,5,12,3,0,0,6,11,5,9,55.0,125.0,0,0,0.08403361344537816,0.907563025210084,0.008403361344537815,0.3125,0.6875,0.973609091282335,2.2127479347325796,0.0,0.0,0.02100840336134454,0.05042016806722689,0.012605042016806723,0.0,0.0,0.1375,0.0,0.10850091199270406,0.8717842203784109,0.003822959416324669,0.5725956420726556,0.4274043579273444,1.4490766579268328,1.7974878827896055,0.0,0.055159722222222214,0.07062425900592795,0.030826322389420884,0.007050330597355221,0.0,0.013266908212560387,0.08548087158546888,0.0
9e22ab19af6a,1,Stage 1,1v1,34.59124755859375,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,95,15,78,0,5,8,2,0,0,6,8,6,9,81.0,110.0,0,0,0.15789473684210525,0.8210526315789474,0.0,0.42857142857142855,0.5714285714285714,2.3416328035811644,3.179995165357137,0.0,0.0,0.05263157894736842,0.08421052631578947,0.021052631578947368,0.0,0.0,0.11428571428571428,0.0,0.12578875068999448,0.8540281642985987,0.0024849236206110348,0.5221871673472261,0.47781283265277386,1.761471308905849,2.2813654316882417,0.0,0.03585381944444444,0.06432682098543212,0.04951079376364989,0.011951135940912471,0.0,0.008623490338164251,0.09556256653055477,0.0
310fb55bc974,1,Stage 1,1v1,33.564453125,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,164,17,147,0,8,7,2,0,0,5,12,8,7,50.0,132.0,0,0,0.10365853658536585,0.8963414634146342,0.0,0.4,0.6,1.4896712249054407,3.9327320337503635,0.0,0.0,0.04878048780487805,0.042682926829268296,0.012195121951219513,0.0,0.0,0.12,0.0,0.11804317575337447,0.8688378189892112,0.0016152003533971726,0.479421658775697,0.520578341224303,1.6663412795057062,2.859343742409984,0.0,0.023304982638888888,0.05888560437223819,0.047121040336616335,0.012036531044519936,0.0,0.005605268719806764,0.1041156682448606,0.0
aacd0b925aaf,1,Stage 1,1v1,47.865478515625,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,200,20,178,1,7,10,3,0,0,6,9,14,10,103.0,110.0,0,0,0.1,0.89,0.005,0.6086956521739131,0.391304347826087,2.151863998735062,2.2981071831151145,0.0,0.0,0.035,0.05,0.015,0.0,0.0,0.0782608695652174,0.0,0.11172806423969342,0.8762445823429873,0.002799880229708162,0.5246675564650727,0.4753324435349274,1.8362742312359805,2.6629109466567797,0.0,0.015148238715277778,0.05052564284195482,0.04812867621880062,0.013073745178937958,0.0,0.0036434246678743966,0.09506648870698547,0.0
85e104810cd8,1,Stage 1,1v1,33.8026123046875,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,164,10,149,5,0,8,2,0,0,0,9,0,7,0.0,120.0,0,0,0.06097560975609756,0.9085365853658537,0.03048780487804878,0.0,1.0,0.0,3.550021487048185,0.0,0.0,0.0,0.04878048780487805,0.012195121951219513,0.0,0.0,0.2,0.0,0.09396470517043487,0.8875467834009906,0.012490653856627378,0.34103391170229724,0.6589660882977028,1.1935782503033874,2.9733996357937715,0.0,0.009846355164930556,0.032841667847270634,0.048356810273927714,0.012766227049236502,0.0,0.0023682260341183576,0.13179321765954055,0.0
516a972635a6,1,Stage 1,1v1,23.03973388671875,P2,False,True,1.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,67,0,62,1,0,0,0,0,3,1,0,6,23,85.0,72.0,5,0,0.0,0.9253731343283582,0.014925373134328358,1.0,0.0,3.6892787224855157,3.1250360943406723,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.06107705836078267,0.9007860062255693,0.01334280560382272,0.5716720426064932,0.4283279573935068,2.067073415567132,3.026472396285187,0.07608695652173912,0.006400130857204862,0.021347084100725913,0.031431926678053015,0.008298047582003726,0.0,0.017210988713221707,0.08566559147870136,0.0
83f1270d29bd,1,Stage 1,1v1,61.0416259765625,P2,False,True,1.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,423,30,391,2,9,17,4,0,0,11,19,15,11,122.0,131.0,0,0,0.07092198581560284,0.9243498817966903,0.004728132387706856,0.4411764705882353,0.5588235294117647,1.9986361445686758,2.1460765158893156,0.0,0.0,0.02127659574468085,0.04018912529550828,0.009456264775413711,0.0,0.0,0.11176470588235295,0.0,0.06452278296996973,0.9090333626754616,0.010327669978182168,0.5259985924001029,0.47400140759989706,2.043120370717672,2.718333838146632,0.049456521739130434,0.004160085057183161,0.021322413176110142,0.03449694619416235,0.00870342359969722,0.0,0.01118714266359411,0.0948002815199794,0.0
