match_id,round_number,stage,mode,duration_s,slot_id,is_p1,is_p2,won_round,profile_id,profile_name,player_id,actions_total,actions_attack,actions_mobility,actions_defense,actions_quick,actions_heavy,actions_special,actions_charge,actions_projectile,hit_attempts,misses,hits_landed,hits_received,damage_dealt,damage_taken,blocked_hits_as_defender,dodged_hits_as_defender,attack_rate,mobility_rate,defense_rate,hit_rate,miss_rate,dps_dealt,dps_taken,block_rate,dodge_rate,quick_rate,heavy_rate,special_rate,charge_rate,projectile_rate,risk_index,parry_rate
9e22ab19af6a,1,Stage 1,1v1,34.59124755859375,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,95,15,78,0,5,8,2,0,0,6,8,6,9,81.0,110.0,0,0,0.15789473684210525,0.8210526315789474,0.0,0.42857142857142855,0.5714285714285714,2.3416328035811644,3.179995165357137,0.0,0.0,0.05263157894736842,0.08421052631578947,0.021052631578947368,0.0,0.0,0.11428571428571428,0.0
9e22ab19af6a,1,Stage 1,1v1,34.59124755859375,P1,True,False,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,104,19,65,7,2,7,2,2,0,8,3,9,7,110.0,81.0,1,0,0.18269230769230768,0.625,0.0673076923076923,0.75,0.25,3.179995165357137,2.3416328035811644,0.14285714285714285,0.0,0.019230769230769232,0.0673076923076923,0.019230769230769232,0.019230769230769232,0.0,0.057692307692307696,0.0
310fb55bc974,1,Stage 1,1v1,33.564453125,P1,True,False,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,110,31,60,7,2,20,1,3,0,5,5,7,8,132.0,50.0,1,0,0.2818181818181818,0.5454545454545454,0.06363636363636363,0.5833333333333334,0.4166666666666667,3.9327320337503635,1.4896712249054407,0.125,0.0,0.01818181818181818,0.18181818181818182,0.00909090909090909,0.02727272727272727,0.0,0.09424242424242425,0.0
310fb55bc974,1,Stage 1,1v1,33.564453125,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,164,17,147,0,8,7,2,0,0,5,12,8,7,50.0,132.0,0,0,0.10365853658536585,0.8963414634146342,0.0,0.4,0.6,1.4896712249054407,3.9327320337503635,0.0,0.0,0.04878048780487805,0.042682926829268296,0.012195121951219513,0.0,0.0,0.12,0.0
6c1f1fea9eb5,2,Stage 1,1v1,34.124755859375,P1,True,False,0.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,87,17,64,3,15,0,2,0,0,11,2,23,10,53.0,124.0,0,0,0.19540229885057472,0.735632183908046,0.034482758620689655,0.92,0.08,1.5531246646395993,3.6337256304775534,0.0,0.0,0.1724137931034483,0.0,0.022988505747126436,0.0,0.0,0.016,0.0
6c1f1fea9eb5,2,Stage 1,1v1,34.124755859375,P2,False,True,1.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,117,16,100,1,4,9,3,0,0,8,8,10,25,124.0,53.0,0,2,0.13675213675213677,0.8547008547008547,0.008547008547008548,0.5555555555555556,0.4444444444444444,3.6337256304775534,1.5531246646395993,0.0,0.08,0.03418803418803419,0.07692307692307693,0.02564102564102564,0.0,0.0,0.08888888888888889,0.0
aacd0b925aaf,1,Stage 1,1v1,47.865478515625,P1,True,False,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,120,31,76,5,11,12,2,3,0,8,10,10,17,110.0,103.0,1,2,0.25833333333333336,0.6333333333333333,0.041666666666666664,0.5,0.5,2.2981071831151145,2.151863998735062,0.058823529411764705,0.11764705882352941,0.09166666666666666,0.1,0.016666666666666666,0.025,0.0,0.11000000000000001,0.0
aacd0b925aaf,1,Stage 1,1v1,47.865478515625,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,200,20,178,1,7,10,3,0,0,6,9,14,10,103.0,110.0,0,0,0.1,0.89,0.005,0.6086956521739131,0.391304347826087,2.151863998735062,2.2981071831151145,0.0,0.0,0.035,0.05,0.015,0.0,0.0,0.0782608695652174,0.0
85e104810cd8,1,Stage 1,1v1,33.8026123046875,P1,True,False,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,82,14,52,4,3,0,2,0,0,3,2,5,0,69.0,0.0,0,0,0.17073170731707318,0.6341463414634146,0.04878048780487805,0.7142857142857143,0.2857142857142857,2.0412623550527065,0.0,0.0,0.0,0.036585365853658534,0.0,0.024390243902439025,0.0,0.0,0.05714285714285714,0.0
85e104810cd8,1,Stage 1,1v1,33.8026123046875,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,164,10,149,5,0,8,2,0,0,0,9,0,7,0.0,120.0,0,0,0.06097560975609756,0.9085365853658537,0.03048780487804878,0.0,1.0,0.0,3.550021487048185,0.0,0.0,0.0,0.04878048780487805,0.012195121951219513,0.0,0.0,0.2,0.0
516a972635a6,1,Stage 1,1v1,23.03973388671875,P1,True,False,0.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,82,48,25,4,46,0,1,0,0,23,14,18,8,72.0,115.0,0,0,0.5853658536585366,0.3048780487804878,0.04878048780487805,0.5625,0.4375,3.1250360943406723,4.991377095127462,0.0,0.0,0.5609756097560976,0.0,0.012195121951219513,0.0,0.0,0.08750000000000001,0.0
516a972635a6,1,Stage 1,1v1,23.03973388671875,P2,False,True,1.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,67,0,62,1,0,0,0,0,3,1,0,6,23,85.0,72.0,5,0,0.0,0.9253731343283582,0.014925373134328358,1.0,0.0,3.6892787224855157,3.1250360943406723,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.0,0.0
8dbf574d15f8,2,Stage 1,1v1,46.3900146484375,P1,True,False,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,146,23,81,15,4,2,4,2,0,6,4,9,4,115.0,33.0,1,0,0.15753424657534246,0.5547945205479452,0.10273972602739725,0.6923076923076923,0.3076923076923077,2.4789817565594023,0.7113599823170459,0.25,0.0,0.0273972602739726,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0,0.06701791359325607,0.0
8dbf574d15f8,2,Stage 1,1v1,46.3900146484375,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,271,20,250,1,6,11,3,0,0,5,12,3,9,33.0,115.0,0,0,0.07380073800738007,0.922509225092251,0.0036900369003690036,0.2,0.8,0.7113599823170459,2.4789817565594023,0.0,0.0,0.02214022140221402,0.04059040590405904,0.01107011070110701,0.0,0.0,0.16000000000000003,0.0
21e9abd310c8,2,Stage 1,1v1,50.34423828125,P1,True,False,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,75,24,46,1,13,4,3,1,0,8,10,9,0,120.0,0.0,0,0,0.32,0.6133333333333333,0.013333333333333334,0.47368421052631576,0.5263157894736842,2.3835895446389603,0.0,0.0,0.0,0.17333333333333334,0.05333333333333334,0.04,0.013333333333333334,0.0,0.11059649122807017,0.0
21e9abd310c8,2,Stage 1,1v1,50.34423828125,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,118,7,103,4,0,6,1,0,0,1,5,0,10,0.0,120.0,0,1,0.059322033898305086,0.8728813559322034,0.03389830508474576,0.0,1.0,0.0,2.3835895446389603,0.0,0.1,0.0,0.05084745762711865,0.00847457627118644,0.0,0.0,0.2,0.0
b9dab26e564d,2,Stage 1,1v1,30.5133056640625,P1,True,False,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,83,18,52,4,2,7,2,2,0,9,0,8,19,103.0,50.0,0,0,0.21686746987951808,0.6265060240963856,0.04819277108433735,1.0,0.0,3.375576580721301,1.6386294081171364,0.0,0.0,0.024096385542168676,0.08433734939759036,0.024096385542168676,0.024096385542168676,0.0,0.00963855421686747,0.0
b9dab26e564d,2,Stage 1,1v1,30.5133056640625,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,120,24,96,0,19,3,2,0,0,4,14,19,9,50.0,103.0,0,1,0.2,0.8,0.0,0.5757575757575758,0.42424242424242425,1.6386294081171364,3.375576580721301,0.0,0.1111111111111111,0.15833333333333333,0.025,0.016666666666666666,0.0,0.0,0.08484848484848485,0.0
2b7895119976,1,Stage 1,1v1,57.48944091796875,P1,True,False,0.0,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,213,29,130,25,20,2,2,2,0,4,7,7,28,61.0,133.0,0,0,0.13615023474178403,0.6103286384976526,0.11737089201877934,0.5,0.5,1.0610644150643322,2.3134683148123965,0.0,0.0,0.09389671361502347,0.009389671361502348,0.009389671361502348,0.009389671361502348,0.0,0.10375586854460095,0.0
2b7895119976,1,Stage 1,1v1,57.48944091796875,P2,False,True,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,180,18,132,13,5,7,4,1,0,6,6,28,7,133.0,61.0,0,0,0.1,0.7333333333333333,0.07222222222222222,0.8235294117647058,0.17647058823529413,2.3134683148123965,1.0610644150643322,0.0,0.0,0.027777777777777776,0.03888888888888889,0.022222222222222223,0.005555555555555556,0.0,0.03751633986928105,0.0
