profile_name,Aggression,Defense,Mobility,Risk,Aggression_norm,Defense_norm,Mobility_norm,Risk_norm,quick_rate,heavy_rate,special_rate,charge_rate,projectile_rate,mobility_rate,dodge_rate,block_rate,miss_rate,dps_taken
BOT_1,0.3565630547455455,0.1744041920393099,0.49420663035794615,0.15437614540024877,0.4912437722290656,0.493671789876338,0.565916586057625,0.42179274699521524,0.02442810457516338,0.3277185705591278,0.01987505528527198,0.01538461538461538,0.0,0.5814195651269956,0.0,0.0,0.2897435897435897,0.5957815480314317
BOT_2,0.14886205170358785,0.16828366602058462,0.7585092800220788,0.1619500332958749,0.20509010916123888,0.4425297210043978,0.8883773351031898,0.44248642977015007,0.0121951219512195,0.06707317073170732,0.0321951219512195,0.0,0.002475247524752475,0.8860613378411012,0.0357142857142857,0.0,0.2777777777777778,0.7438948970169478
NIGATRON,0.6558678828623536,0.21166666666666667,0.085,0.01,0.9036017853591679,0.8050306564020127,0.0666666666666667,0.0273224043715847,0.0,0.7333333333333334,0.0,0.06666666666666667,0.0,0.10000000000000002,0.0,0.0,0.0,0.0
Saleaz,0.6604176105678451,0.1930923527358763,0.12312350348064631,0.017865078399793087,0.9098700326464694,0.6498268651933347,0.11317900206789096,0.048811689616921,0.15074211502782933,0.6784326784326785,0.0,0.012987012987012986,0.0,0.14485118056546625,0.0,0.0,0.015873015873015872,0.13223547381637338
koutaliaris,0.5360591071465787,0.19603896103896104,0.2355239691196629,0.04034343434343434,0.7385389328133134,0.6744482203373123,0.2503124677712663,0.11022796268697908,0.09818181818181819,0.5405829266047995,0.0,0.029393939393939392,0.0,0.277087022493721,0.0,0.03896103896103895,0.024747474747474744,0.34806081581539433
