match_id,round_number,stage,mode,duration_s,slot_id,is_p1,is_p2,won_round,profile_id,profile_name,player_id,actions_total,actions_attack,actions_mobility,actions_defense,actions_quick,actions_heavy,actions_special,actions_charge,actions_projectile,hit_attempts,misses,hits_landed,hits_received,damage_dealt,damage_taken,blocked_hits_as_defender,dodged_hits_as_defender,attack_rate,mobility_rate,defense_rate,hit_rate,miss_rate,dps_dealt,dps_taken,block_rate,dodge_rate,quick_rate,heavy_rate,special_rate,charge_rate,projectile_rate,risk_index,_plot_label,norm_dps_dealt,norm_dps_taken,Aggression,Defense,Mobility,Risk,Aggression_norm,Defense_norm,Mobility_norm,Risk_norm,_profile_name,_player_slot,_round_context
f711894b2320,1,Stage 1,1v1,32.355804443359375,P2,False,True,,c02c585c-a254-44d2-887a-c9833001d433,BOT_2,c02c585c-a254-44d2-887a-c9833001d433,25,2,23,0,0,0,2,0,0,0,2,0,0,0.0,0.0,0,0,0.08,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.474,BOT_2,0.0,0.0,0.027999999999999997,0.2,0.782,0.366,0.03857613804725145,0.707545984603019,0.9170370370370371,1.0,BOT_2,P2,1
c049bf2ad7ec,1,Stage 1,1v1,12.236248016357422,P1,True,False,,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,BOT_1,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,28,1,27,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0,0,0.0357142857142857,0.9642857142857144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.4607142857142857,BOT_1,0.0,0.0,0.012499999999999994,0.2,0.8196428571428572,0.3571428571428571,0.017221490199665818,0.707545984603019,0.9629629629629631,0.9758001561280248,BOT_1,P1,1
c049bf2ad7ec,1,Stage 1,1v1,12.236248016357422,P2,False,True,,c02c585c-a254-44d2-887a-c9833001d433,BOT_2,c02c585c-a254-44d2-887a-c9833001d433,17,0,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BOT_2,0.0,0.0,0.0,0.2,0.85,0.0,0.0,0.707545984603019,1.0,0.0,BOT_2,P2,1
bd3b55b87abd,1,Stage 1,1v1,48.83810424804688,P1,True,False,0.0,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,BOT_1,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,38,18,17,3,0,16,2,0,0,8,3,6,8,84.0,105.0,0,0,0.4736842105263157,0.4473684210526316,0.0789473684210526,0.6666666666666666,0.3333333333333333,1.7199684814416054,2.1499606018020065,0.0,0.0,0.0,0.4210526315789473,0.0526315789473684,0.0,0.0,0.1657894736842105,BOT_1,0.1833798085630656,0.5615425664687471,0.37144969218253915,0.115323065653619,0.38026315789473686,0.29565575239676445,0.5117533786872389,0.0,0.42690058479532167,0.8078026021769521,BOT_1,P1,1
bd3b55b87abd,1,Stage 1,1v1,48.83810424804688,P2,False,True,1.0,c02c585c-a254-44d2-887a-c9833001d433,BOT_2,c02c585c-a254-44d2-887a-c9833001d433,41,15,26,0,2,11,2,0,0,7,1,8,7,105.0,84.0,0,1,0.3658536585365853,0.6341463414634146,0.0,0.8888888888888888,0.1111111111111111,2.1499606018020065,1.7199684814416054,0.0,0.1428571428571428,0.048780487804878,0.2682926829268293,0.048780487804878,0.0,0.0,0.0646341463414634,BOT_2,0.22922476070383196,0.44923405317499776,0.36484877191053033,0.138724617936429,0.5604529616724739,0.1834152024023638,0.5026591639853849,0.1955393694751479,0.6467399968117329,0.5011344327933438,BOT_2,P2,1
dd607dc3c7a2,1,Stage 1,1v1,82.03176879882812,P1,True,False,1.0,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,BOT_1,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,272,21,251,0,3,15,3,0,0,3,3,23,6,103.0,68.0,0,0,0.0772058823529411,0.9227941176470588,0.0,0.8846153846153846,0.1153846153846153,1.2556111066261857,0.8289471383551518,0.0,0.0,0.0110294117647058,0.0551470588235294,0.0110294117647058,0.0,0.0,0.0552319004524886,BOT_1,0.1338708975467852,0.21651052728534753,0.22056515121218084,0.15669789454293048,0.7843749999999999,0.10754365592316076,0.30387684719907065,0.345720995572633,0.9199346405228758,0.29383512547311685,BOT_1,P1,1
dd607dc3c7a2,1,Stage 1,1v1,82.03176879882812,P2,False,True,0.0,c02c585c-a254-44d2-887a-c9833001d433,BOT_2,c02c585c-a254-44d2-887a-c9833001d433,202,0,200,0,0,0,0,0,2,2,0,4,23,40.0,103.0,0,0,0.0,0.99009900990099,0.0,1.0,0.0,0.4876159637383245,1.2556111066261857,0.0,0.0,0.0,0.0,0.0,0.0,0.0099009900990099,0.0,BOT_2,0.05198869807642143,0.32794976927045283,0.2025994349038211,0.13441004614590943,0.8415841584158414,0.09838493078113585,0.2791251346123192,0.15948754533640522,0.9897323065639896,0.2688112862872564,BOT_2,P2,1
00ba8e0d7784,1,Stage 1,1v1,14.924324035644531,P1,True,False,1.0,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,BOT_1,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,13,7,6,0,0,5,0,1,0,6,0,6,0,104.0,0.0,0,0,0.5384615384615384,0.4615384615384615,0.0,1.0,0.0,6.968489812443863,0.0,0.0,0.0,0.0,0.3846153846153846,0.0,0.0769230769230769,0.0,0.0192307692307692,BOT_1,0.7429672936265453,0.0,0.49099451852748105,0.2,0.39230769230769225,0.011538461538461534,0.6764525831128525,0.707545984603019,0.4415954415954415,0.03152585119798233,BOT_1,P1,1
320b337d7a12,1,Stage 1,1v1,15.392024993896484,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,13,6,7,0,0,5,0,0,0,5,0,5,0,70.0,0.0,0,0,0.4615384615384615,0.5384615384615384,0.0,1.0,0.0,4.547809662975316,0.0,0.0,0.0,0.0,0.3846153846153846,0.0,0.0,0.0,0.0,koutaliaris,0.4848789232920532,0.0,0.44347471539537187,0.2,0.4576923076923077,0.0,0.610983637198479,0.707545984603019,0.5213675213675214,0.0,koutaliaris,P1,1
03b93e61ec0d,1,Stage 1,1v1,13.110950469970703,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,11,9,2,0,0,9,0,0,0,8,1,8,0,112.0,0.0,0,0,0.8181818181818182,0.1818181818181818,0.0,0.8888888888888888,0.1111111111111111,8.542477546271309,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0499999999999999,koutaliaris,0.9107829091010606,0.0,0.6324078323237399,0.2,0.1545454545454545,0.03888888888888888,0.8712804229244157,0.707545984603019,0.1515151515151515,0.10625379477838492,koutaliaris,P1,1
9cc74a57e36b,1,Stage 1,1v1,14.336807250976562,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,10,9,1,0,1,8,0,0,0,8,1,8,0,104.0,0.0,0,0,0.9,0.1,0.0,0.8888888888888888,0.1111111111111111,7.2540558144782175,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0499999999999999,koutaliaris,0.7734138043331182,0.0,0.6664484679944337,0.2,0.085,0.03888888888888888,0.9181788608118755,0.707545984603019,0.0666666666666667,0.10625379477838492,koutaliaris,P1,1
870c57343e2d,1,Stage 1,1v1,13.80156707763672,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,9,8,1,0,0,8,0,0,0,0,0,0,0,0.0,0.0,0,0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,koutaliaris,0.0,0.0,0.4444444444444444,0.2,0.09444444444444444,0.0,0.6123196515436738,0.707545984603019,0.07818930041152265,0.0,koutaliaris,P1,1
8044ebf6f386,1,Stage 1,1v1,14.51508331298828,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,12,9,3,0,0,9,0,0,0,8,0,8,0,112.0,0.0,0,0,0.75,0.25,0.0,1.0,0.0,7.716111412173637,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,koutaliaris,0.822677304196709,0.0,0.6161338652098354,0.2,0.2125,0.0,0.8488594657114724,0.707545984603019,0.22222222222222227,0.0,koutaliaris,P1,1
9aae906534b3,1,Stage 1,1v1,14.181192398071287,P1,True,False,1.0,7be90f2d-2834-44ad-9a15-47a03192e962,Saleaz,7be90f2d-2834-44ad-9a15-47a03192e962,11,8,3,0,0,8,0,0,0,8,0,8,0,112.0,0.0,0,0,0.7272727272727273,0.2727272727272727,0.0,1.0,0.0,7.897784393309024,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,Saleaz,0.8420469361761075,0.0,0.605738710445169,0.2,0.23181818181818178,0.0,0.8345378612391755,0.707545984603019,0.24579124579124578,0.0,Saleaz,P1,1
98ead74e5498,1,Stage 1,1v1,15.900213241577148,P1,True,False,1.0,7be90f2d-2834-44ad-9a15-47a03192e962,Saleaz,7be90f2d-2834-44ad-9a15-47a03192e962,11,9,2,0,0,7,0,1,0,1,0,1,0,34.0,0.0,0,0,0.8181818181818182,0.1818181818181818,0.0,1.0,0.0,2.1383361017507667,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0909090909090909,0.0,0.0227272727272727,Saleaz,0.22798537834477212,0.0,0.6023083598263295,0.2,0.1545454545454545,0.013636363636363634,0.8298118012740745,0.707545984603019,0.1515151515151515,0.03725782414307004,Saleaz,P1,1
ac0939b4d956,1,Stage 1,1v1,13.002090454101562,P1,True,False,1.0,7be90f2d-2834-44ad-9a15-47a03192e962,Saleaz,7be90f2d-2834-44ad-9a15-47a03192e962,9,8,1,0,0,8,0,0,0,8,0,8,0,112.0,0.0,0,0,0.8888888888888888,0.1111111111111111,0.0,1.0,0.0,8.613999448424783,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,Saleaz,0.9184084399561245,0.0,0.6903648664422506,0.2,0.09444444444444444,0.0,0.9511289425303061,0.707545984603019,0.07818930041152265,0.0,Saleaz,P1,1
8d851ac52b8e,1,Stage 1,1v1,14.556951522827148,P1,True,False,1.0,7be90f2d-2834-44ad-9a15-47a03192e962,Saleaz,7be90f2d-2834-44ad-9a15-47a03192e962,13,10,3,0,0,10,0,0,0,8,0,8,0,112.0,0.0,0,0,0.7692307692307693,0.2307692307692307,0.0,1.0,0.0,7.69391859445089,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,Saleaz,0.8203111476598978,0.0,0.6256309419983795,0.2,0.1961538461538461,0.0,0.8619437708986234,0.707545984603019,0.20227920227920224,0.0,Saleaz,P1,1
2beb36dabfef,1,Stage 1,1v1,15.124534606933594,P1,True,False,1.0,7be90f2d-2834-44ad-9a15-47a03192e962,Saleaz,7be90f2d-2834-44ad-9a15-47a03192e962,11,10,1,0,1,9,0,0,0,8,0,8,1,112.0,14.0,0,0,0.9090909090909092,0.0909090909090909,0.0,1.0,0.0,7.4051865337169085,0.9256483167146136,0.0,0.0,0.0909090909090909,0.8181818181818182,0.0,0.0,0.0,0.0,Saleaz,0.7895270777221519,0.24176765424433028,0.6940218084315621,0.15164646915113394,0.07727272727272726,0.07253029627329909,0.95616718178068,0.3035121487352283,0.057239057239057235,0.19817020839699204,Saleaz,P1,1
